term,term_translation,lang_code
https://publications.europa.eu/resource/authority/language/POR,portugais,fr
https://publications.europa.eu/resource/authority/language/POR,portugali keel,et
https://publications.europa.eu/resource/authority/language/POR,португалски,sr
https://publications.europa.eu/resource/authority/language/POR,portugalski,pl
https://publications.europa.eu/resource/authority/language/POR,Portaingéilis,ga
https://publications.europa.eu/resource/authority/language/POR,portugisiska,sv
https://publications.europa.eu/resource/authority/language/POR,португалски,bg
https://publications.europa.eu/resource/authority/language/POR,Portuguese,en
https://publications.europa.eu/resource/authority/language/POR,portugalski,hr
https://publications.europa.eu/resource/authority/language/POR,portugalšćina,hsb
https://publications.europa.eu/resource/authority/language/POR,Portugiż,mt
https://publications.europa.eu/resource/authority/language/POR,португалски,mk
https://publications.europa.eu/resource/authority/language/POR,portugál,hu
https://publications.europa.eu/resource/authority/language/POR,portugali,fi
https://publications.europa.eu/resource/authority/language/POR,portoghese,it
https://publications.europa.eu/resource/authority/language/POR,portugués,es
https://publications.europa.eu/resource/authority/language/POR,portugisisk,da
https://publications.europa.eu/resource/authority/language/POR,portugisisk,no
https://publications.europa.eu/resource/authority/language/POR,portugalų kalba,lt
https://publications.europa.eu/resource/authority/language/POR,português,pt
https://publications.europa.eu/resource/authority/language/POR,Portugiesisch,de
https://publications.europa.eu/resource/authority/language/POR,portugalčina,sk
https://publications.europa.eu/resource/authority/language/POR,portugāļu valoda,lv
https://publications.europa.eu/resource/authority/language/POR,πορτογαλικά,el
https://publications.europa.eu/resource/authority/language/POR,Portugees,nl
https://publications.europa.eu/resource/authority/language/POR,portugheză,ro
https://publications.europa.eu/resource/authority/language/POR,португальский,ru
https://publications.europa.eu/resource/authority/language/POR,португальська мова,uk
https://publications.europa.eu/resource/authority/language/POR,portúgalska,is
https://publications.europa.eu/resource/authority/language/POR,portugalski,sh
https://publications.europa.eu/resource/authority/language/POR,portugalština,cs
https://publications.europa.eu/resource/authority/language/POR,portekizce,tr
https://publications.europa.eu/resource/authority/language/POR,portugalščina,sl
https://www.wikidata.org/wiki/Q57262078,food consumption,en
https://www.wikidata.org/wiki/Q4014799,medical visit,en
http://purl.obolibrary.org/obo/NCIT_C18002,Home,en
https://www.wikidata.org/wiki/Q600236,surgical operation,en
http://purl.obolibrary.org/obo/NCIT_C21007,Disability,en
http://purl.obolibrary.org/obo/NCIT_C15329,Surgical Procedure,en
http://purl.obolibrary.org/obo/NCIT_C25741,Physician,en
http://purl.obolibrary.org/obo/NCIT_C111860,Maternal Mortality,en
https://publications.europa.eu/resource/authority/language/EST,Eastóinis,ga
https://publications.europa.eu/resource/authority/language/EST,Eston,mt
https://publications.europa.eu/resource/authority/language/EST,estónčina,sk
https://publications.europa.eu/resource/authority/language/EST,Estisch,nl
https://publications.europa.eu/resource/authority/language/EST,естонски,sr
https://publications.europa.eu/resource/authority/language/EST,estisk,no
https://publications.europa.eu/resource/authority/language/EST,estonski,sh
https://publications.europa.eu/resource/authority/language/EST,estoński,pl
https://publications.europa.eu/resource/authority/language/EST,estonien,fr
https://publications.europa.eu/resource/authority/language/EST,estonština,cs
https://publications.europa.eu/resource/authority/language/EST,естонська мова,uk
https://publications.europa.eu/resource/authority/language/EST,естонски,mk
https://publications.europa.eu/resource/authority/language/EST,eesti keel,et
https://publications.europa.eu/resource/authority/language/EST,estonca,tr
https://publications.europa.eu/resource/authority/language/EST,естонски,bg
https://publications.europa.eu/resource/authority/language/EST,estonio,es
https://publications.europa.eu/resource/authority/language/EST,viro,fi
https://publications.europa.eu/resource/authority/language/EST,estónio,pt
https://publications.europa.eu/resource/authority/language/EST,Estnisch,de
https://publications.europa.eu/resource/authority/language/EST,eistneska,is
https://publications.europa.eu/resource/authority/language/EST,εσθονικά,el
https://publications.europa.eu/resource/authority/language/EST,észt,hu
https://publications.europa.eu/resource/authority/language/EST,эстонский,ru
https://publications.europa.eu/resource/authority/language/EST,estone,it
https://publications.europa.eu/resource/authority/language/EST,igauņu valoda,lv
https://publications.europa.eu/resource/authority/language/EST,Estonian,en
https://publications.europa.eu/resource/authority/language/EST,estišćina,hsb
https://publications.europa.eu/resource/authority/language/EST,estniska,sv
https://publications.europa.eu/resource/authority/language/EST,estonski,hr
https://publications.europa.eu/resource/authority/language/EST,estonă,ro
https://publications.europa.eu/resource/authority/language/EST,estų kalba,lt
https://publications.europa.eu/resource/authority/language/EST,estisk,da
https://publications.europa.eu/resource/authority/language/EST,estonščina,sl
https://www.wikidata.org/wiki/Q26305989,blood-borne transmission,en
https://publications.europa.eu/resource/authority/language/HYE,armenska,is
https://publications.europa.eu/resource/authority/language/HYE,armenski,hr
https://publications.europa.eu/resource/authority/language/HYE,armeniska,sv
https://publications.europa.eu/resource/authority/language/HYE,armenšćina,hsb
https://publications.europa.eu/resource/authority/language/HYE,Јерменски,sr
https://publications.europa.eu/resource/authority/language/HYE,Armenian,en
https://publications.europa.eu/resource/authority/language/HYE,Armen,mt
https://publications.europa.eu/resource/authority/language/HYE,armeenia keel,et
https://publications.europa.eu/resource/authority/language/HYE,armensk,no
https://publications.europa.eu/resource/authority/language/HYE,ерменски,mk
https://publications.europa.eu/resource/authority/language/HYE,armensk,da
https://publications.europa.eu/resource/authority/language/HYE,armeană,ro
https://publications.europa.eu/resource/authority/language/HYE,арменски,bg
https://publications.europa.eu/resource/authority/language/HYE,Armeens,nl
https://publications.europa.eu/resource/authority/language/HYE,arménština,cs
https://publications.europa.eu/resource/authority/language/HYE,Armenisch,de
https://publications.europa.eu/resource/authority/language/HYE,armēņu valoda,lv
https://publications.europa.eu/resource/authority/language/HYE,armeno,it
https://publications.europa.eu/resource/authority/language/HYE,armenščina,sl
https://publications.europa.eu/resource/authority/language/HYE,армянский,ru
https://publications.europa.eu/resource/authority/language/HYE,armėnų kalba,lt
https://publications.europa.eu/resource/authority/language/HYE,armenio,es
https://publications.europa.eu/resource/authority/language/HYE,ermenice,tr
https://publications.europa.eu/resource/authority/language/HYE,arménčina,sk
https://publications.europa.eu/resource/authority/language/HYE,вірменська мова,uk
https://publications.europa.eu/resource/authority/language/HYE,Airméinis,ga
https://publications.europa.eu/resource/authority/language/HYE,armenia,fi
https://publications.europa.eu/resource/authority/language/HYE,ormiański,pl
https://publications.europa.eu/resource/authority/language/HYE,arménio,pt
https://publications.europa.eu/resource/authority/language/HYE,arménien,fr
https://publications.europa.eu/resource/authority/language/HYE,αρμενικά,el
https://publications.europa.eu/resource/authority/language/HYE,örmény,hu
https://publications.europa.eu/resource/authority/language/HYE,armenski,sh
http://semanticscience.org/resource/SIO_000713,doctor role,en
http://purl.obolibrary.org/obo/OMIT_0010784,Obesity,en
https://www.wikidata.org/wiki/Property:P106,occupation,en
https://www.wikidata.org/wiki/Q949149,sanitation,en
http://purl.obolibrary.org/obo/OMIT_0013403,Sanitation,en
http://purl.obolibrary.org/obo/NCIT_C16452,Communication,en
http://purl.obolibrary.org/obo/GSSO_000498,mental disorder,en
https://www.wikidata.org/wiki/Q747883,physical activity,en
https://publications.europa.eu/resource/authority/language/BOS,bośniacki,pl
https://publications.europa.eu/resource/authority/language/BOS,bosniaco,it
https://publications.europa.eu/resource/authority/language/BOS,bosnik,no
https://publications.europa.eu/resource/authority/language/BOS,bosnia,fi
https://publications.europa.eu/resource/authority/language/BOS,Bosnian,en
https://publications.europa.eu/resource/authority/language/BOS,bosniačtina,sk
https://publications.europa.eu/resource/authority/language/BOS,bosniešu valoda,lv
https://publications.europa.eu/resource/authority/language/BOS,bosnių kalba,lt
https://publications.europa.eu/resource/authority/language/BOS,bosenština,cs
https://publications.europa.eu/resource/authority/language/BOS,bosnien,fr
https://publications.europa.eu/resource/authority/language/BOS,boşnakça,tr
https://publications.europa.eu/resource/authority/language/BOS,Bosnisch,nl
https://publications.europa.eu/resource/authority/language/BOS,βοσνιακά,el
https://publications.europa.eu/resource/authority/language/BOS,bosnisk,da
https://publications.europa.eu/resource/authority/language/BOS,босненски,bg
https://publications.europa.eu/resource/authority/language/BOS,bosníska,is
https://publications.europa.eu/resource/authority/language/BOS,bosnia keel,et
https://publications.europa.eu/resource/authority/language/BOS,bósnio,pt
https://publications.europa.eu/resource/authority/language/BOS,Bosnisch,de
https://publications.europa.eu/resource/authority/language/BOS,bosniska,sv
https://publications.europa.eu/resource/authority/language/BOS,бошњачки,sr
https://publications.europa.eu/resource/authority/language/BOS,Bosnis,ga
https://publications.europa.eu/resource/authority/language/BOS,bosnišćina,hsb
https://publications.europa.eu/resource/authority/language/BOS,bosanščina,sl
https://publications.europa.eu/resource/authority/language/BOS,Bosnjan,mt
https://publications.europa.eu/resource/authority/language/BOS,bosnyák,hu
https://publications.europa.eu/resource/authority/language/BOS,боснийский,ru
https://publications.europa.eu/resource/authority/language/BOS,бошњачки,mk
https://publications.europa.eu/resource/authority/language/BOS,bošnjački,sh
https://publications.europa.eu/resource/authority/language/BOS,боснійська мова,uk
https://publications.europa.eu/resource/authority/language/BOS,bosniacă,ro
https://publications.europa.eu/resource/authority/language/BOS,bosnio,es
https://publications.europa.eu/resource/authority/language/BOS,bošnjački,hr
http://purl.obolibrary.org/obo/OMIT_0008309,Income,en
https://publications.europa.eu/resource/authority/language/CES,tšekki,fi
https://publications.europa.eu/resource/authority/language/CES,tékkneska,is
https://publications.europa.eu/resource/authority/language/CES,чешки,bg
https://publications.europa.eu/resource/authority/language/CES,чешки,sr
https://publications.europa.eu/resource/authority/language/CES,checo,pt
https://publications.europa.eu/resource/authority/language/CES,tsjekkisk,no
https://publications.europa.eu/resource/authority/language/CES,Ċek,mt
https://publications.europa.eu/resource/authority/language/CES,češki,hr
https://publications.europa.eu/resource/authority/language/CES,čěšćina,hsb
https://publications.europa.eu/resource/authority/language/CES,cseh,hu
https://publications.europa.eu/resource/authority/language/CES,Seicis,ga
https://publications.europa.eu/resource/authority/language/CES,tšehhi keel,et
https://publications.europa.eu/resource/authority/language/CES,čekų kalba,lt
https://publications.europa.eu/resource/authority/language/CES,čehu valoda,lv
https://publications.europa.eu/resource/authority/language/CES,чешский,ru
https://publications.europa.eu/resource/authority/language/CES,τσεχικά,el
https://publications.europa.eu/resource/authority/language/CES,češki,sh
https://publications.europa.eu/resource/authority/language/CES,čeština,sk
https://publications.europa.eu/resource/authority/language/CES,Tsjechisch,nl
https://publications.europa.eu/resource/authority/language/CES,чешки,mk
https://publications.europa.eu/resource/authority/language/CES,tjekkisk,da
https://publications.europa.eu/resource/authority/language/CES,çekçe,tr
https://publications.europa.eu/resource/authority/language/CES,ceco,it
https://publications.europa.eu/resource/authority/language/CES,tchèque,fr
https://publications.europa.eu/resource/authority/language/CES,cehă,ro
https://publications.europa.eu/resource/authority/language/CES,czeski,pl
https://publications.europa.eu/resource/authority/language/CES,Tschechisch,de
https://publications.europa.eu/resource/authority/language/CES,checo,es
https://publications.europa.eu/resource/authority/language/CES,чеська мова,uk
https://publications.europa.eu/resource/authority/language/CES,češčina,sl
